l_includes|l_model_number|l_series|l_color|l_type|l_suitable|l_power|l_gm_type|l_gm_capacity|l_processor_name|l_processor_generation|l_ssd|l_ssd_capacity|l_ram|l_ram_type|l_clock_speed|l_expandable_memory|l_graphic_processor|l_number_cores|l_Id_id|created_at|updated_at
Laptop, battery, adapter, cables and user manuals|X413EA-EB321WS|VivoBook Ultra 14 (2022)|Cobalt Blue|Thin and Light Laptop|Processing & Multitasking|65W AC Adapter|No description available|No description available|Core i3|11th Gen|Yes|512 GB|8 GB|DDR4|3.00 GHz, Max Turbo Boost Frequency Up to 4.10 GHz|No description available|Intel Integrated UHD|0.0|249||
Laptop, Power Adaptor, User Guide, Warranty Documents|UX363EA-HP562WS|No description available|Pine Grey|Thin and Light Laptop|Processing & Multitasking|65W AC Adapter|No description available|No description available|Core i5|11th Gen|Yes|512 GB|16 GB|LPDDR4X|4.2|No description available|Intel Integrated Iris Xe Graphics|4.0|250||
Laptop, battery, adapter, cables and user manuals|X413EA-EB322WS|VivoBook Ultra 14 (2022)|Bespoke Black|Thin and Light Laptop|Processing & Multitasking|65W AC Adapter|No description available|No description available|Core i3|11th Gen|Yes|512 GB|8 GB|DDR4|3.00 GHz, Max Turbo Boost Frequency Up to 4.10 GHz|No description available|Intel Integrated UHD|0.0|251||
Laptop, Power Adaptor, User Guide, Warranty Documents|X415KA-EK111WS|VivoBook 14|Transparent Silver|Thin and Light Laptop|Processing & Multitasking|33W AC Adapter|No description available|No description available|Pentium Silver|No description available|Yes|256 GB|4 GB|DDR4|3.3|No description available|Intel Integrated UHD Graphics 600|4.0|252||
Laptop, Power Adaptor, User Guide, Warranty Documents|UX482EGR-KA521WS|ZenBook Duo 14 (2021) Touch Panel|Celestial Blue|Thin and Light Laptop|Processing & Multitasking|65 W AC Adapter|GDDR6|2 GB|Core i5|11th Gen|Yes|512 GB|16 GB|LPDDR4X|2.5 GHz upto max turbo frequency at 4.5 Ghz|No description available|NVIDIA GeForce MX450|4.0|253||
Laptop, Power Adaptor, User Guide, Warranty Documents|UX482EAR-KA501WS|ZenBook Duo 14 (2021) Touch Panel|Celestial Blue|Thin and Light Laptop|Processing & Multitasking|65 W AC Adapter|No description available|No description available|Core i5|11th Gen|Yes|512 GB|8 GB|LPDDR4X|2.5 GHz upto max turbo frequency at 4.5 Ghz|No description available|Intel Integrated Iris Xe|4.0|254||
Laptop, Battery, Adapter, Cables and User Manuals|Inspiron 3511|Inspiron|Platinum Silver|Thin and Light Laptop|Everyday Use|No description available|GDDR5|2 GB|Core i5|11th Gen|Yes|512 GB|16 GB|DDR4|2.4 GHz Upto Max Turbo Frequency at 4.2 GHz|16 GB|NVIDIA GeForce MX350|4.0|255||
User Manual, Laptop, Charger, Adapter, Warranty Card|5510 D560638WIN9B|No description available|Dark Shadow Grey|Laptop|Processing & Multitasking|No description available|GDDR6|4 GB|Core i5|10th Gen|Yes|512 GB|16 GB|DDR4|No description available|No description available|NVIDIA GeForce GTX 1650|0.0|256||
Laptop, Power Adaptor, User Guide, Warranty Documents|14ITL6|No description available|Storm Grey|Laptop|Processing & Multitasking|No description available|No description available|No description available|Core i5|11th Gen|Yes|512 GB|16 GB|DDR4|No description available|No description available|Intel Integrated|0.0|257||
LAPTOP, ADAPTER, POWER CORD, USER MAUAL|EQ2144AU|No description available|Natural Silver|Laptop|Everyday Use|No description available|No description available|No description available|Ryzen 5 Hexa Core|No description available|Yes|512 GB|8 GB|DDR4|No description available|No description available|AMD Radeon AMD Radeon Graphics|0.0|258||
Laptop, Battery, Adapter, Cables and User Manual|Inspiron 5418|Inspiron|Platinum Silver|Thin and Light Laptop|Processing & Multitasking|No description available|No description available|No description available|Core i5|11th Gen|Yes|512 GB|16 GB|DDR4|2.5 GHz upto MaxTurbo Frequency at 4.5 GHz|16|Intel Integrated Iris Xe|4.0|282||
Laptop, Power Adaptor, User Guide, Warranty Documents|15s- eq2144au|No description available|Natural Silver|Thin and Light Laptop|Everyday Use, Processing & Multitasking|No description available|No description available|No description available|Ryzen 5 Hexa Core|No description available|Yes|512 GB|8 GB|DDR4|2.1 GHz with Max Turbo Boost Frequency Up to 4.0 GHz|No description available|AMD Radeon AMD|6.0|259||
Laptop, Power Adaptor, User Guide, Warranty Documents|15s-fq2629TU|No description available|Natural Silver|Thin and Light Laptop|Everyday Use, Processing & Multitasking|No description available|No description available|No description available|Core i3|11th Gen|Yes|512 GB|8 GB|DDR4|1.7 GHz upto max turbo frequency at 3.7 Ghz|No description available|Intel Integrated UHD|4.0|260||
Laptop, Power Adaptor, User Guide, Warranty Documents|15ITL6|No description available|Arctic Grey|Laptop|Processing & Multitasking|No description available|No description available|No description available|Core i5|11th Gen|Yes|512 GB|8 GB|DDR4|No description available|No description available|Intel Integrated|0.0|261||
Laptop, Power Adaptor, User Guide, Warranty Documents|GA401QH-HZ080TS|No description available|Moonlight White|Thin and Light Laptop|Processing & Multitasking|150W AC Adapter|GDDR6|4 GB|Ryzen 7 Octa Core|No description available|Yes|512 GB|16 GB|DDR4|4.4|24|NVIDIA GeForce GTX 1650|8.0|262||
Laptop, Power Adaptor, User Guide, Warranty Documents|GA401QH-HZ079TS|No description available|Eclipse Gray|Gaming Laptop|Processing & Multitasking|150W AC Adapter|GDDR6|No description available|Ryzen 7 Octa Core|No description available|Yes|512 GB|16 GB|DDR4|4.4|24|NVIDIA GeForce GTX 1650|8.0|263||
Laptop, Power Adaptor, User Guide, Warranty Documents|K3400PA-KM502WS|VivoBook Pro 14 OLED (2022)|Cool Silver|Gaming Laptop|Processing & Multitasking|65 W AC Adapter|No description available|No description available|Core i5|11th Gen|Yes|512 GB|16 GB|DDR4|Base Clock 3.10 GHz, Max Turbo Boost Frequency Up to 4.40 GHz|No description available|Intel Integrated Iris Xe|4.0|264||
Laptop, Power Adaptor, User Guide, Warranty Documents|P1545FA|ExpertBook|Slate Grey|Business Laptop|Processing & Multitasking|45 W AC Adapter|No description available|No description available|Core i3|10th Gen|Yes|256 GB|8 GB|DDR4|2.1 GHz with Turbo Boost Upto 4.1 GHz|No description available|Intel Integrated HD|2.0|265||
Laptop, Power Adaptor, User Guide, Warranty Documents|SFX14-41G|Swift X|Safari Gold|Thin and Light Laptop|Everyday Use, Processing & Multitasking|90 W|GDDR6|4 GB|Ryzen 7 Octa Core|No description available|Yes|1 TB|16 GB|DDR4|1.90 GHz, Max Turbo Boost Frequency Up to 4.4 GHz|No description available|NVIDIA GeForce RTX 3050 Ti|0.0|266||
Laptop, Power Adaptor, User Guide, Warranty Documents|SF514-55TA|Intel EVO Swift 5|Mist Green|Thin and Light Laptop|Processing & Multitasking|65 W|No description available|No description available|Core i5|11th Gen|Yes|512 GB|8 GB|DDR4|4.20|No description available|Intel Integrated Intel Iris Xe Graphics|4.0|267||
Laptop, Power Adaptor, User Guide, Warranty Documents|IdeaPad 3 15IML05|IdeaPad 3 15IML05|Platinum Grey|Thin and Light Laptop|Processing & Multitasking|45W Power adapter|No description available|No description available|Core i3|10th Gen|Yes|No description available|8 GB|DDR4|4.1|12|Intel Integrated UHD Graphics|2.0|268||
Laptop, Power Adaptor, User Guide, Warranty Documents|5502|Inspiron|Silver|Thin and Light Laptop|Processing & Multitasking|No description available|GDDR5|2 GB|Core i5|11th Gen|Yes|512 GB|8 GB|DDR4|No description available|No description available|NVIDIA GeForce MX330|4.0|269||
Laptop, Power Adaptor, User Guide, Warranty Documents|PH315-54|Predator Helios 300|Abyssal Black|Gaming Laptop|Gaming|230W|GDDR6|6 GB|Core i9|11th Gen|Yes|1 TB|16 GB|DDR4|2.50 GHz with Max Turbo Boost Frequency Up to 5.20 GHz|32|NVIDIA GeForce RTX RTX 3060|8.0|270||
Laptop, Power Adaptor, User Guide, Warranty Documents|PH315-54|Predator Helios 300|Abyssal Black|Gaming Laptop|Gaming|230W|GDDR6|8 GB|Core i9|11th Gen|Yes|1 TB|32 GB|DDR4|2.50 GHz with Max Turbo Boost Frequency Up to 5.20 GHz|32|NVIDIA GeForce RTX 3070|8.0|271||
LAPTOP, ADAPTER AND MANUAL|3510|Inspiron 3510|Black|Laptop|Everyday Use|65W|No description available|No description available|Pentium Quad Core|11th Gen|Yes|256 GB|4 GB|DDR4|1.10GHz|UP TO 16GB|Intel Integrated INTEL|0.0|272||
Laptop, Power Adaptor, User Guide, Warranty Documents|14IIL05|IdeaPad|Abyss Blue|Laptop|Processing & Multitasking|No description available|No description available|No description available|Core i3|10th Gen|Yes|256 GB|4 GB|DDR4|No description available|No description available|Intel Integrated|0.0|273||
LAPTOP, ADAPTER AND MANUAL|3511|Inspiron 3511|Black|Laptop|Everyday Use|No description available|No description available|No description available|Core i3|11th Gen|Yes|256 GB|16 GB|DDR4|No description available|No description available|Intel Integrated INTEL|0.0|274||
laptop, manual, adaptor|X515EA-BQ312WS|No description available|Silver|Laptop|Entertainment|No description available|DDR4|No description available|Core i3|11th Gen|Yes|256 GB|8 GB|DDR4|No description available|No description available|NA intel hd|0.0|275||
Laptop, Power Adaptor, Battery, Warranty Documents, User Guide|FA706IC-HX003T|ASUS TUF Gaming A17|Graphite Black|Gaming Laptop|Gaming|180 W AC Adapter|GDDR6|4 GB|Ryzen 7 Octa Core|No description available|Yes|512 GB|16 GB|DDR4|Max Boost Frequency Upto 4.2 GHz|Upto 32 GB|NVIDIA GeForce RTX 3050|8.0|276||
Laptop, Power Adaptor, User Guide, Warranty Documents|15s- fq4021TU|No description available|Natural Silver|Thin and Light Laptop|Processing & Multitasking|65 W Smart AC power adapter|No description available|No description available|Core i5|11th Gen|Yes|512 GB|8 GB|DDR4|4.5|16|Intel Integrated Iris Xe Graphics|4.0|277||
Laptop, Power Adaptor, User Guide, Warranty Documents|14s- dq3032tu|No description available|Jet Black|Thin and Light Laptop|Processing & Multitasking|No description available|No description available|No description available|Celeron Dual Core|No description available|Yes|256 GB|8 GB|DDR4|2.8|No description available|Intel Integrated UHD Graphics|2.0|278||
Laptop, Power Adapter, User Guide, Warranty Documents|14s-fq1089au|No description available|Natural Silver|Thin and Light Laptop|Processing & Multitasking|65 W Smart AC power adapter|No description available|No description available|Ryzen 3 Quad Core|No description available|Yes|512 GB|8 GB|DDR4|3.8|16|AMD Radeon Radeon Graphics|4.0|279||
Laptop, Battery, Adapter, Cables and User Manuals|Vostro 3400|Vostro|Dune|Thin and Light Laptop|Everyday Use, Processing & Multitasking|No description available|GDDR5|2 GB|Core i5|11th Gen|Yes|512 GB|8 GB|DDR4|2.4 GHz Upto Max Turbo Frequency at 4.2 GHz|16|NVIDIA GeForce MX330|4.0|280||
Laptop, battery, adapter, cables and user manuals|Inspiron 3515|Inspiron|Carbon Black|Thin and Light Laptop|Everyday Use|No description available|No description available|No description available|Ryzen 5 Quad Core|No description available|Yes|256 GB|8 GB|DDR4|2.1 GHz to max turbo frequency at 3.5 Ghz|Upto 16 GB|AMD Radeon AMD|4.0|281||
Laptop, battery, power adapter, user guide, Laptop Bag|Pulse GL66 12UEK-046IN|No description available|Gray|Gaming Laptop|Gaming, Processing & Multitasking|240 W adapter|GDDR6|6 GB|Core i7|12th Gen|Yes|1 TB|16 GB|DDR4|3.0 GHz upto max turbo frequency at 4.7 GHz|No description available|NVIDIA GeForce RTX 3060|0.0|283||
Laptop, Battery, Power Adaptor, User Guide, Warranty Documents|UX363EA-HP502WS|Zenbook|Pine Grey|Thin and Light Laptop|Processing & Multitasking|65W AC Adapter|No description available|No description available|Core i5|11th Gen|Yes|512 GB|8 GB|LPDDR4X|4.2|No description available|Intel Integrated Iris Xe Graphics|4.0|284||
Laptop, Battery, Adapter, Cables and User Manuals|Vostro 3400|Vostro|Dune|Thin and Light Laptop|Everyday Use, Processing & Multitasking|No description available|No description available|No description available|Core i3|11th Gen|Yes|256 GB|4 GB|DDR4|1.7 GHz Upto Max Turbo Frequency at 4.1 GHz|16|Intel Integrated UHD|2.0|285||
Laptop, battery, power adapter, user guide, Laptop Bag|stealth gs66 12ugs-038in|Stealth GS66|Black|Gaming Laptop|Processing & Multitasking|240W Slim adapter|GDDR6|8 GB|Core i7|12th Gen|Yes|1 TB|32 GB|DDR5|4.7|No description available|NVIDIA GeForce RTX 3070 Ti|0.0|286||
Laptop, Battery, Adapter, Cables and User Manuals|Vostro 3400|Vostro|Dune|Thin and Light Laptop|Everyday Use, Processing & Multitasking|No description available|GDDR5|2 GB|Core i5|11th Gen|Yes|512 GB|16 GB|DDR4|2.4 GHz Upto Max Turbo Frequency at 4.2 GHz|16|NVIDIA GeForce MX330|4.0|287||
Laptop, Battery, Adapter, Cables and User Manuals|INSPIRON 3511|Inspiron|Carbon Black|Thin and Light Laptop|Everyday Use|No description available|No description available|No description available|Core i5|11th Gen|Yes|256 GB|8 GB|DDR4|2.4 GHz Upto Max Turbo Frequency at 4.2 GHz|16 GB|Intel Integrated UHD|4.0|288||
Laptop, battery, adapter, cables and user manuals|Inspiron 3511|Inspiron|Carbon Black|Thin and Light Laptop|Everyday Use|No description available|No description available|No description available|Core i3|10th Gen|Yes|256 GB|8 GB|DDR4|1.2 GHz upto max turbo frequency at 3.4 Ghz|Upto 16 GB|Intel Integrated UHD|2.0|289||
Laptop, Battery, Adapter, Cables and User Manuals|Vostro 3400|Vostro|Dune|Thin and Light Laptop|Everyday Use, Processing & Multitasking|No description available|No description available|No description available|Core i3|11th Gen|Yes|256 GB|8 GB|DDR4|1.7 GHz Upto Max Turbo Frequency at 4.1 GHz|16|Intel Integrated UHD|2.0|290||
Laptop, Power Adaptor, User Guide, Warranty Documents|A5EFK-083IN|Delta 15 AMD Advantage Edition|Carbon Gray|Gaming Laptop|Gaming|No description available|GDDR6|10 GB|Ryzen 9 Octa Core|5th Gen|Yes|1 TB|16 GB|DDR4|3.3GHz with Max Turbo Boost Frequency Up to 4.6 GHz|No description available|AMD Radeon RX 6700M|8.0|291||
Laptop, Power Adaptor, User Guide, Warranty Documents|A515-45|Aspire 5|Pure Silver|Thin and Light Laptop|Entertainment, Everyday Use, Performance, Processing & Multitasking, Travel & Business|45 W AC Adapter|No description available|No description available|Ryzen 5 Hexa Core|No description available|Yes|512 GB|8 GB|DDR4|Base Frequency 2.10 GHz, Max Turbo Boost Frequency Up to 4.0 GHz|Upto 24GB|AMD Radeon AMD|4.0|292||
Laptop, battery, adapter, cables and user manuals|INSPIRON 3515|Inspiron|Mist Blue Speckle|Thin and Light Laptop|Everyday Use, Processing & Multitasking|No description available|No description available|No description available|Ryzen 3 Dual Core|No description available|Yes|256 GB|8 GB|DDR4|3.5|16|AMD Radeon Radeon Graphics|2.0|293||
Laptop, Power Adaptor, User Guide, Warranty Documents|15IML05|No description available|Platinum Grey|Laptop|Processing & Multitasking|No description available|No description available|No description available|Core i3|10th Gen|No|No description available|8 GB|DDR4|No description available|No description available|Intel Integrated|0.0|294||
Laptop, Power Adaptor, User Guide, Warranty Documents|15s-eq2143au|No description available|Natural Silver|Thin and Light Laptop|Processing & Multitasking|No description available|No description available|No description available|Ryzen 3 Quad Core|No description available|Yes|512 GB|8 GB|DDR4|2.6 GHz with Turbo Boost Upto 3.8 GHz|Yes|AMD Radeon AMD|4.0|295||
Laptop, Power Adaptor, User Guide, Warranty Documents|15IML05|No description available|Platinum Grey|Thin and Light Laptop|Processing & Multitasking|No description available|No description available|No description available|Core i3|10th Gen|Yes|512 GB|8 GB|DDR4|2.1 GHz with Turbo Boost Upto 4.1 GHz|Upto 12 GB|Intel Integrated UHD|2.0|296||
